1,Metro 2033,First-person shooter,12,4A Engine,Metro 2033 is played from a first-person perspective. Players encounter human and mutant enemies who can be killed with a variety of firearms; alternatively players can employ stealth to evade or silently kill enemies. Ammunition and other necessary items must be either scavenged from the bodies of dead enemies or purchased from vendors. Some areas of the metro tunnels in addition to the Earths surface are covered in radiation and the player must wear a gas mask to explore these areas.
2,The Witcher 3: Wild Hunt,Action role-playing,12,REDengine 3,Geralt a monster hunter known as a Witcher is looking for his missing adopted daughter who is on the run from the Wild Hunt: an otherworldly force determined to capture and use her powers. Players battle the games many dangers with weapons and magic interact with non-player characters and complete main-story and side quests to acquire experience points and gold which are used to increase Geralts abilities and purchase equipment.
3,Assassins Creed 2,Action-adventure,12,Anvil,The framing story is set in the 21st century and follows Desmond Miles as he relives the genetic memories of his ancestor Ezio Auditore da Firenze. The main narrative takes place at the height of the Renaissance in Italy during the 15th and early 16th century. Players can explore Florence Venice Tuscany and Forli as they guide Ezio on a quest for vengeance against those responsible for betraying his family.
4,Wolfenstein 2: The New Colossus,First-person shooter,18,id Tech 6, The game is the eighth main entry in the Wolfenstein series and the sequel to 2014s Wolfenstein: The New Order set in alternate history 1961 America following the Nazi victory of the Second World War. The story follows war veteran William B.J. Blazkowicz and his efforts to fight against the Nazi regime in the United States.
5,Fallout 4,Action role-playing,14,Creation Engine,The player assumes control of a character referred to as the Sole Survivor who emerges from a long-term cryogenic stasis in Vault 111 an underground nuclear fallout shelter. After witnessing the murder of their spouse and kidnapping of their son the Sole Survivor ventures out into the Commonwealth to search for their missing child.
6,Resident Evil 7: Biohazard,Survival horror,18,RE Engine,The story follows civilian Ethan Winters as he searches for his wife Mia which leads him to a derelict plantation inhabited by the Baker family. Ethan makes use of weapons and tools in the fight against the Baker family and the Molded a humanoid form of bacteria.
7,Mafia 3,Action-adventure,16,Hungar,Mafia III is an action-adventure game set in an open world environment and played from a third-person perspective in which the player assume control of Lincoln Clay a Vietnam War veteran on a quest to seek revenge for his adopted family who are murdered by local mobs.
8,Call of Duty: Modern Warfare 3,First-person shooter,12,IW Engine,The games campaign follows Modern Warfare 2 and begins right after the events of its final mission. Similar to Modern Warfare 2 it is centered around the Task Force 141 which contains Captain Price Soap MacTavish and Yuri one of the playable characters. Alongside the Delta Force and Special Air Service they hunt Vladimir Makarov a Russian terrorist who leads the Russian Ultranationalist party.
9,Mass Effect 3,Action role-playing,12,Unreal Engine 3,The combat system in Mass Effect 3 was changed and refined from previous titles. In particular the cover system was improved additional options for traversing the battlefield and scoring instant melee kills were added more conventional grenades are available and improved artificial intelligence was introduced.
10,The Elder Scrolls 5: Skyrim,Action role-playing,12,Creation Engine,The games main story revolves around the player character and their quest to defeat Alduin the World-Eater a dragon who is prophesied to destroy the world. The game is set two hundred years after the events of Oblivion and takes place in the fictional province of Skyrim. Over the course of the game the player completes quests and develops the character by improving skills.
